Method,F1_Score,Train_Time_sec,Complexity,Efficiency_Ratio
MTSExample,0.9366,0.0009563000000012423,Very Low,936.6
SmartSimpleAD,0.9311,0.07833150000000177,Very Low,11.886661177176219
VotingEnsemble,0.8139,29.501481599999988,Low,0.027588444913898842
CoarseGrainedMTS,0.6964,26.7094954,Low,0.02607312454131949
CAD,0.93,149.29427690000006,Medium,0.006229307775963378
EventMaster,0.5459,88.5672225,Medium,0.006163679797003909
EnhancedVoting,0.88,260.3655179,Medium,0.0033798638433296165
HyperTimesNet,0.8912,426.8550403,Medium,0.0020878282223718188
USAD,0.8174,426.64872560000003,Medium,0.00191586181079173
ReconstructionMTS,0.8409,448.32163090000006,Medium,0.0018756623415914682
OmniAnomaly,0.6135,450.7643019,Medium,0.001361021707828368
NewTimesNet,0.8972,779.4487453999999,High,0.0011510699135702273
AMAD,0.9262,1149.9349863000004,High,0.0008054368386339091
MAAT,0.8283,1382.1815346,High,0.0005992700519181136
MTSTimesNet,0.7745,3340.8397478000006,High,0.00023182794101693185
LightMMoE,0.9341,5874.070277700001,High,0.00015902090983592183
HMMoE,0.9338,8188.250352700001,Very High,0.00011404145693861057
